"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"KL Plumbing Electrical Handyman Services kl Selogor","5","30","40, Jalan Kovil Ulu","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 11-1673 1483","Plumber","Electrician","Painting",,,,,,,"https://www.google.com/maps/search/?api=1&query=KL%20Plumbing%20Electrical%20Handyman%20Services%20kl%20Selogor&query_place_id=ChIJg5HyJIlJzDERGw8noqnQs5k","Plumber"
"Chong Wong Plumbing, & Renovation Services in Kuala Lumpur","4.4","5","12-19, 218, Jln Sultan Azlan Shah","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 17-798 6763","Air conditioning contractor","Handyman/Handywoman/Handyperson",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chong%20Wong%20Plumbing%2C%20%26%20Renovation%20Services%20in%20Kuala%20Lumpur&query_place_id=ChIJmyEsW2NJzDERdMIpYBnhx7A","Air conditioning contractor"
"PJ Electric Air-conditioning service","5","17","22, Jalan Tun Sambanthan3, 50470 Kuala Lumpur","Town","Federal Territory of Kuala Lumpur","MY",,"+60 16-900 1416","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PJ%20Electric%20Air-conditioning%20service&query_place_id=ChIJwe_MSgpJzDER0EWgqhcGbr0","Air conditioning contractor"
"Electrician Wireman 247","4.9","34","Jalan Bedara","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://wa.me/60176114530","+60 11-2704 1015","Air conditioning contractor","Electrician","Plumber",,,,,,,"https://www.google.com/maps/search/?api=1&query=Electrician%20Wireman%20247&query_place_id=ChIJ08WGPw83zDERo6QcU9E5OIk","Air conditioning contractor"
"Dr Air - Aircond Service Specialist in KL","3.2","66","9 Jalan Jejaka 7, Taman Maluri Cheras","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://drair.com.my/","+60 18-366 6309","Air conditioning repair service","Air compressor repair service","Air conditioning contractor","Air conditioning system supplier","Drinking water fountain",,,,,"https://www.google.com/maps/search/?api=1&query=Dr%20Air%20-%20Aircond%20Service%20Specialist%20in%20KL&query_place_id=ChIJ4zLgJS03zDER_zbuLOT34wY","Air conditioning repair service"
"Tip Top Aircon Service and installation","5","34","29E-3-2 JLN traverse brickfield Kuala Lumpur WP Kuala Lumpur 40570","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://tiptopaircon.com/","+60 17-663 0940","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tip%20Top%20Aircon%20Service%20and%20installation&query_place_id=ChIJEbELmutJzDERC5RJB3A_0IM","Air conditioning contractor"
"Combine Aircon Service","5","8",,"Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.facebook.com/combineairconservice1024","+60 16-270 3031","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Combine%20Aircon%20Service&query_place_id=ChIJly7yN7k3zDERnPx3ZCKqZUc","Air conditioning contractor"
"Air Cond Service KL Sentral",,,"16-06 Q Sentral","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.aircondrepairkl.com/","+60 17-690 8808","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Cond%20Service%20KL%20Sentral&query_place_id=ChIJl0ueTn5JzDERjAxsfZJd-FQ","Air conditioning contractor"
"Marvel Aircond and Electric","4.3","41","Wisma Yap Ka, Jln Sultan Azlan Shah","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://marvelaircon.com/index.html","+60 11-6068 7085","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marvel%20Aircond%20and%20Electric&query_place_id=ChIJudhLzqZJzDERD6YjX130giw","Air conditioning contractor"
"Prime Aircond Solution's","4.9","51","Jalan Kasipillay","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 10-212 9636","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20Aircond%20Solution's&query_place_id=ChIJP7upLQNJzDERrj_aeM0WGJk","Air conditioning contractor"
"Prestige Cool Sdn Bhd","4.2","38","No.18, Jln Segambut Utara","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 3-6257 7951","General contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prestige%20Cool%20Sdn%20Bhd&query_place_id=ChIJF07zjrBHzDERIAEr7CF6Hek","General contractor"
"Inuit Air Conditioning Services","5","7","B2-5-2, Publika Solaris Dutamas, Jln Dutamas 1","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.inuit.my/","+60 19-212 0077","Air conditioning contractor","Air conditioning system supplier","Mechanical engineer",,,,,,,"https://www.google.com/maps/search/?api=1&query=Inuit%20Air%20Conditioning%20Services&query_place_id=ChIJ7xjdA1PXHi4RdO5lW9X7u34","Air conditioning contractor"
"Leong Air-conditioning & Refrigeration","4.4","9","Lucky Garden, 17, Persiaran Ara Kiri","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 10-890 2520","Air conditioning repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Leong%20Air-conditioning%20%26%20Refrigeration&query_place_id=ChIJ9cXWnZlJzDERHcYR2o6ddX4","Air conditioning repair service"
"Aircond Services Specialist Kuala Lumpur Malaysia","5","5",,,,,"https://aircondspecialist.com/","+60 17-884 1253","Air conditioning repair service","Service establishment",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aircond%20Services%20Specialist%20Kuala%20Lumpur%20Malaysia&query_place_id=ChIJlTPRPAJdrw4RwQuemG-79RM","Air conditioning repair service"
"MR Handyman Services kl selangor","4.9","780","76, Jln Sultan Azlan Shah","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://handyman.appslanka.lk/","+60 11-2802 8879","Plumber",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MR%20Handyman%20Services%20kl%20selangor&query_place_id=ChIJZyoGC0BJzDER1p94AD83OB4","Plumber"
"KRV ELECTRICAL ENTERPRISE","4.9","71","D4 - 31-06, Residence Bandar Razak, No1, Jln Razak Mansion","Sungai besi","Federal Territory of Kuala Lumpur","MY","http://krvelectricalwiringservices.com/","+60 16-830 2848","Electrician",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KRV%20ELECTRICAL%20ENTERPRISE&query_place_id=ChIJAUSs3t43zDERzYgNxNMidlg","Electrician"
"e-Prestige (Premium EV, Hybrid and A/C Specialist)","4.6","295","Lot 4, Jalan Empat","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://doctorev.my/","+60 3-9223 6363","Air conditioning repair service","Auto repair shop","Car repair and maintenance service",,,,,,,"https://www.google.com/maps/search/?api=1&query=e-Prestige%20(Premium%20EV%2C%20Hybrid%20and%20A%2FC%20Specialist)&query_place_id=ChIJ4RUQXxs2zDERS43cklvH-5o","Air conditioning repair service"
"Syukur Resources Engineering","5","3","303A, Jalan Mahkota Kuala Lumpur","Batu 9 Cheras","Federal Territory of Kuala Lumpur","MY","https://www.facebook.com/BestQualityAircondServices/reviews","+60 10-460 0962","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Syukur%20Resources%20Engineering&query_place_id=ChIJSS9Funs3zDER61j1JU58lKs","Air conditioning contractor"
"FJ Tyre Auto Services","4.1","12","303, Jalan Mahkota","Cheras","Federal Territory of Kuala Lumpur","MY",,"+60 13-723 4779","Air conditioning repair service","Tire repair shop","Auto restoration service",,,,,,,"https://www.google.com/maps/search/?api=1&query=FJ%20Tyre%20Auto%20Services&query_place_id=ChIJI9mv-Go3zDERxkp84AqyMW4","Air conditioning repair service"
"IAQ Facility Services | Indoor Air Quality Services","4.8","21","Block E-10-21 Plaza, 2, Jalan Kiara","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://www.iaqmy.com/","+60 3-6413 8480","HVAC contractor","Air conditioning contractor","Environmental health service","Air duct cleaning service",,,,,,"https://www.google.com/maps/search/?api=1&query=IAQ%20Facility%20Services%20%7C%20Indoor%20Air%20Quality%20Services&query_place_id=ChIJeZ0Uk_FIzDERPB7LSCwN2ZE","HVAC contractor"
"Skud Technical |NEBB Air Balancing |NEBB Cleanroom Testing | Biosafety Cabinet Testing","5","12","E-10-1, Plaza Mont Kiara, 2, Jalan Kiara","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.skud.my/","+60 3-6420 7548","HVAC contractor","Contractor","Engineer","Engineering consultant","Mechanical engineer",,,,,"https://www.google.com/maps/search/?api=1&query=Skud%20Technical%20%7CNEBB%20Air%20Balancing%20%7CNEBB%20Cleanroom%20Testing%20%7C%20Biosafety%20Cabinet%20Testing&query_place_id=ChIJFxMZGnlJzDERM9D3tKo1jSE","HVAC contractor"
"MyMechanic - Honk SDN BHD","4.7","631","L-2-8, Block L, Plaza Damas, Solaris MY, Jalan Sri Hartamas 1","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://wa.me/601135048893","+60 10-227 7549","Auto repair shop","Car wash","Mechanic",,,,,,,"https://www.google.com/maps/search/?api=1&query=MyMechanic%20-%20Honk%20SDN%20BHD&query_place_id=ChIJc1ZYYtA1zDER1uycL29HKPk","Auto repair shop"
"Midea Scott & English Electronics Sdn Bhd","3.7","271","16, Jalan Chan Sow Lin","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://www.midea.com/my","+60 1-300-22-0133","Electronics manufacturer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Midea%20Scott%20%26%20English%20Electronics%20Sdn%20Bhd&query_place_id=ChIJoZGuxRk2zDERZxc0R58sK54","Electronics manufacturer"
"Local Service","3.7","36","C-23-5, KL Trillion, Jln Tun Razak","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://localservice.my/","+60 19-888 8343","Air conditioning contractor","Air compressor repair service","House cleaning service","Emergency locksmith service","Locksmith","Plumber","Pump supplier",,,"https://www.google.com/maps/search/?api=1&query=Local%20Service&query_place_id=ChIJKYjqxgU3zDERTbXIDNGEYYk","Air conditioning contractor"
"Mud Monkeez Garage","4.9","10","Lot 200, The Nest @ carpark, Jln Imbi","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 13-882 4134","Air conditioning repair service","Auto radiator repair service","Auto spring shop","Brake shop","Car battery store","Engine rebuilding service","Transmission shop",,,"https://www.google.com/maps/search/?api=1&query=Mud%20Monkeez%20Garage&query_place_id=ChIJj9NOs6I3zDERJkASuYNdBog","Air conditioning repair service"
"TJ Car Services","4.9","71","35, Jalan Genting Kelang, Taman Ayer Panas, 53000","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 12-289 6823","Air conditioning repair service","Auto electrical service","Auto painting","Auto repair shop","Car repair and maintenance service",,,,,"https://www.google.com/maps/search/?api=1&query=TJ%20Car%20Services&query_place_id=ChIJgRvXFxc5zDER3lGXSW0qnTc","Air conditioning repair service"
"BC Air Conditioning Services","5","3","3, NO3, Jalan Cenderai","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 11-3701 0479","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BC%20Air%20Conditioning%20Services&query_place_id=ChIJW8-bTRRJzDERnD8txvIn9IM","Air conditioning contractor"
"sffridge repair","4.5","31","240, Jalan Terasek","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://sffridgerepair.com/","+60 11-1463 8103","Refrigerator repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=sffridge%20repair&query_place_id=ChIJmWDIPMKzzTER7Hy78eRoEn4","Refrigerator repair service"
"MyMechanic - Car Care Service Station","3.6","14","Jln Tun Razak","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://wa.me/60102277549","+60 10-227 7549","Car repair and maintenance service","BMW dealer","Car wash","Honda dealer","Mechanic","Parking garage","Toyota dealer","Volkswagen dealer","Volvo dealer","https://www.google.com/maps/search/?api=1&query=MyMechanic%20-%20Car%20Care%20Service%20Station&query_place_id=ChIJad_JGds3zDERes3C-R1L_P8","Car repair and maintenance service"
"Mun Thoong Car Services Sdn Bhd","4.8","349","20, Persiaran Ara Kiri","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 3-2201 9024","Air conditioning repair service","Mechanic","Auto insurance agency","Auto painting","Life insurance agency","Tire shop",,,,"https://www.google.com/maps/search/?api=1&query=Mun%20Thoong%20Car%20Services%20Sdn%20Bhd&query_place_id=ChIJX0ponZlJzDER_nb8Nh1ULa0","Air conditioning repair service"
"Vision Auto @ Bangsar (Car Vision Auto Care Sdn. Bhd.)","4.3","39","80B, Jalan Maarof","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://visionauto.com.my/","+60 3-2288 8866","Air conditioning repair service","Car repair and maintenance service","Car wash","Diagnostic center","Tire shop","Vehicle inspection service",,,,"https://www.google.com/maps/search/?api=1&query=Vision%20Auto%20%40%20Bangsar%20(Car%20Vision%20Auto%20Care%20Sdn.%20Bhd.)&query_place_id=ChIJpy-LzaJJzDER6Nd-fc-7zog","Air conditioning repair service"
