"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"COLDWAY AIR COND & ELECTRICAL SERVICES","5","13","7, Jalan Sejahtera 4","Bukit Mertajam","Penang","MY",,"+60 17-558 5020","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=COLDWAY%20AIR%20COND%20%26%20ELECTRICAL%20SERVICES&query_place_id=ChIJt9OwK0fJSjARuR-IVHM7uYo","Air conditioning repair service"
"Evercool Aircond Service Penang 槟城冷气维修服务","4.8","36","Hillside, 12, Jalan Sungai Kelian","Tanjung Bungah","Penang","MY","https://api.whatsapp.com/send?phone=60164997055","+60 16-499 7055","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Evercool%20Aircond%20Service%20Penang%20%E6%A7%9F%E5%9F%8E%E5%86%B7%E6%B0%94%E7%BB%B4%E4%BF%AE%E6%9C%8D%E5%8A%A1&query_place_id=ChIJR94gbLHDSjARddWvOz2L0ZA","Air conditioning repair service"
"Ming Huat Auto Aircond Service (depan shell)","5","314","Depan Shell, Lorong Mahsuri 7","Bayan Lepas","Penang","MY",,"+60 18-978 5268","Auto air conditioning service","Electronics store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ming%20Huat%20Auto%20Aircond%20Service%20(depan%20shell)&query_place_id=ChIJB4dzHGrASjARs1eunAov2Ug","Auto air conditioning service"
"Japan Air Solution (M) Sdn Bhd","5","20","1-3A-3A, Elit Avenue Business Park, Lintang Mayang Pasir 3","Penang","Penang","MY","https://jasclean.com/","+60 11-6437 0787","HVAC contractor","Cleaning products supplier","Industrial consultant","Industrial vacuum equipment supplier",,,,,,,"https://www.google.com/maps/search/?api=1&query=Japan%20Air%20Solution%20(M)%20Sdn%20Bhd&query_place_id=ChIJkWJ7X2XBSjAR5RpTykTBSoc","HVAC contractor"
"Tip Top Aircon service & installations","5","9","352 -4-3, Gat lebuh macallui","Pulau Penang","Penang","MY","http://tiptopaircon.com/","+60 17-663 0940","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tip%20Top%20Aircon%20service%20%26%20installations&query_place_id=ChIJqypbtcbDSjARwKtX_D9Ipvw","Air conditioning contractor"
"Vartec Cool","4.8","16","9-G-3, Kompleks Pasar, Lengkok Kelicap","Bayan Lepas","Penang","MY","https://forms.gle/dV1SKVFaQ9xMUrxt9","+60 19-216 9818","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vartec%20Cool&query_place_id=ChIJMwQ-2R1cTw4RUZi6M-Xi2T0","Air conditioning contractor"
"Hwa Auto Air-Cond Service Centre","4.9","145","3-F,Lorong Delima Satu, Jln Masjid Negeri","Gelugor","Penang","MY",,"+60 19-411 5371","Auto air conditioning service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hwa%20Auto%20Air-Cond%20Service%20Centre&query_place_id=ChIJvaLZSYDBSjARu9rhb_28-Rw","Auto air conditioning service"
"Encik Beku Aircond Service Penang","4.6","94","35-B, Jalan Irving","George Town","Penang","MY","http://aircondservicepenang.my/","+60 11-2866 5698","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Encik%20Beku%20Aircond%20Service%20Penang&query_place_id=ChIJvQgqMAvDSjAR3swELp0lv9M","Air conditioning contractor"
"S Legend Auto Air Cond Enterprise","4.8","127","284, Jln Macalister","George Town","Penang","MY",,"+60 12-478 8722","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=S%20Legend%20Auto%20Air%20Cond%20Enterprise&query_place_id=ChIJaatVvLrDSjARCIxCycIanwg","Air conditioning repair service"
"QIN PRO AIRCOND SERVICES","4.4","41","MY Pulau Pinang 11900 Bayan Lepas Desa Iswara, BLOCK Q","Bayan Lepas","Penang","MY",,"+60 14-349 0705","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=QIN%20PRO%20AIRCOND%20SERVICES&query_place_id=ChIJvbHJSvHBSjARkFBztnQo6uc","Air conditioning repair service"
"U Yee","4.8","87","4626, Jalan Chain Ferry","Butterworth","Penang","MY",,"+60 4-323 1259","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=U%20Yee&query_place_id=ChIJsRydhTDESjARh9XPiZsnhlg","Air conditioning repair service"
"Coolaire Engineering Sdn. Bhd. (Air Conditioning Contractor, MEP contractor Malaysia)","5","3","No. 245-H, Jalan Batu Maung","Bayan Lepas","Penang","MY","https://coolaire.com.my/","+60 4-626 3376","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coolaire%20Engineering%20Sdn.%20Bhd.%20(Air%20Conditioning%20Contractor%2C%20MEP%20contractor%20Malaysia)&query_place_id=ChIJE0d39uy_SjARTtdWRvEn9GA","Air conditioning contractor"
"Dykin","4.6","8","12-1, Lintang Batu Maung 2","Batu Maung","Penang","MY","http://www.dykin.com.my/","+60 4-626 5197","HVAC contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dykin&query_place_id=ChIJr5OkpOq_SjARqeTmdhh-Rrs","HVAC contractor"
"Docto Aircond Cawangan Bukit Mertajam Penang","5","8","35, Jln. Permatang Rawa","Bukit Mertajam","Penang","MY","https://doctoaircond.com/","+60 12-308 0415","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Docto%20Aircond%20Cawangan%20Bukit%20Mertajam%20Penang&query_place_id=ChIJt9JrLgTJSjARj3mnPOQXH4k","Air conditioning contractor"
"Ams Autospec Ara Kuda, Penang","5","6","NO 63 , (Tingkat Bawah, 1, Jalan Desa Ara Permai","Tasek Gelugor","Penang","MY","http://amsautospec.my/","+60 13-971 3199","Auto air conditioning service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ams%20Autospec%20Ara%20Kuda%2C%20Penang&query_place_id=ChIJP8eeQIbPSjAR41yF2YCD8Vo","Auto air conditioning service"
"Alibaba Tukang Aircond","5","1",,,,,,"+60 11-2849 1101","Air conditioning repair service","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alibaba%20Tukang%20Aircond&query_place_id=ChIJM0OZHp-TIEYRhNhngrlBvbs","Air conditioning repair service"
"Dr Pakar AirCond","4.6","43","15, Persiaran Seksyen 4/18","Kepala Batas","Penang","MY","https://linktr.ee/DrPakarAircond","+60 17-545 4376","Air conditioning repair service","Air conditioning contractor","Air conditioning store","Electronics store",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dr%20Pakar%20AirCond&query_place_id=ChIJFSOkDYvRSjARbEEPXrSxFqk","Air conditioning repair service"
"OBMA Enterprise",,,"21, Jln Mengkuang","Bukit Mertajam","Penang","MY","http://www.obma.com.my/","+60 16-411 6782","Electrical installation service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OBMA%20Enterprise&query_place_id=ChIJb5x3J7jwMS8RtRMeLTBVxF0","Electrical installation service"
"Northern Air Conditioning Service","4.3","14","31, Jalan Ooi Kar Seng","Nibong Tebal","Penang","MY",,"+60 4-593 2648","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Northern%20Air%20Conditioning%20Service&query_place_id=ChIJZfOfHFuwSjARUqcfdisaf4M","Air conditioning repair service"
"YUD EIGHTNINE AUTO SERVICE","4.9","22","No 28, Lorong Jawi Ria","Sungai Jawi","Penang","MY",,"+60 12-931 0989","Air conditioning repair service","Auto repair shop","Auto radiator repair service","Diesel engine repair service","Mechanic","Small engine repair service",,,,,"https://www.google.com/maps/search/?api=1&query=YUD%20EIGHTNINE%20AUTO%20SERVICE&query_place_id=ChIJ0envx32xSjAREZJeO02EbKA","Air conditioning repair service"
"KK Goh Air-Cond Installation & Maintenance Service | 冷气安装及维修服务",,,"645, Jalan 1","Sungai Jawi","Penang","MY",,"+60 12-521 5282","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KK%20Goh%20Air-Cond%20Installation%20%26%20Maintenance%20Service%20%7C%20%E5%86%B7%E6%B0%94%E5%AE%89%E8%A3%85%E5%8F%8A%E7%BB%B4%E4%BF%AE%E6%9C%8D%E5%8A%A1&query_place_id=ChIJkwcJDg63SjARCmfnMtwOUTM","Air conditioning repair service"
"K.S Auto Air Condition & Accessories","4.6","14","1787, Jalan Nibong Tebal","Nibong Tebal","Penang","MY",,"+60 12-476 1899","Air conditioning repair service","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=K.S%20Auto%20Air%20Condition%20%26%20Accessories&query_place_id=ChIJacyESFWwSjARFVk4zFeiqk0","Air conditioning repair service"
"Letrik Dass","4.9","225","72, Beach St","George Town","Penang","MY",,"+60 16-555 4718","Air conditioning repair service","Electrician","Electrical installation service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Letrik%20Dass&query_place_id=ChIJxwXFk5HDSjAR3u5bqEj1euw","Air conditioning repair service"
"Lian Huat Car Air Cond Service","4.7","47","6689, Jalan Bagan Ajam","Butterworth","Penang","MY",,"+60 16-443 5168","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lian%20Huat%20Car%20Air%20Cond%20Service&query_place_id=ChIJf4oZVvDESjARXc2oUv46Z8g","Air conditioning repair service"
"新乐冷气 XINLE COOLING ENTERPRISE","5","5","3-23-A, Rumah Pangsa Kos Rendah, Pusat Perniagaan Raja Uda, Jalan Raja Uda","Butterworth","Penang","MY",,"+60 19-228 5716","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E4%B9%90%E5%86%B7%E6%B0%94%20XINLE%20COOLING%20ENTERPRISE&query_place_id=ChIJ_TUEYKzFSjARWJU-64mdqHI","Air conditioning repair service"
"PE Air Cond Service","5","2","Jln Ayer Itam","Air Itam","Penang","MY",,"+60 16-482 6549","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PE%20Air%20Cond%20Service&query_place_id=ChIJ49s9oR_DSjAREo_8kh3K3dY","Air conditioning repair service"
"wajateknik aircond service seberang perai","4.3","25","NO,1542-A, MUKIM 7","Butterworth","Penang","MY","https://wajateknik.my/","+60 12-571 9797","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=wajateknik%20aircond%20service%20seberang%20perai&query_place_id=ChIJx5gpIxjbSjARs6fsEQjb3bk","Air conditioning contractor"
"Speed Air-Cond & Electrical Engineering","3.9","12","388g, Jln Perak","Jelutong","Penang","MY",,"+60 12-489 3311","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Speed%20Air-Cond%20%26%20Electrical%20Engineering&query_place_id=ChIJpz8E4JbDSjARmFFd23lvO8c","Air conditioning repair service"
"Media Air-Cond Services & Trading","3","23","Jalan Teluk Air Tawar","Butterworth","Penang","MY","http://mediaaircond.com.my/","+60 4-351 1552","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Media%20Air-Cond%20Services%20%26%20Trading&query_place_id=ChIJHawIIS7bSjARvZKlOavmyGU","Air conditioning repair service"
"CHUAN SENG - PENANG ISLAND (AIRCOND WHOLESALER)","4.9","94","28, Jalan Seang Tek","George Town","Penang","MY",,"+60 4-226 1146","Air conditioning store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CHUAN%20SENG%20-%20PENANG%20ISLAND%20(AIRCOND%20WHOLESALER)&query_place_id=ChIJseug5L7DSjARe3o3jSwUBMk","Air conditioning store"
"Zen Engineering","4.2","10","358-G-4, Gat Lebuh Macallum","George Town","Penang","MY","https://zenengineeringong.wixsite.com/zen-engineering","+60 11-5672 6575","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zen%20Engineering&query_place_id=ChIJtXKxmhDDSjARM9Ejqms5NYI","Air conditioning contractor"
"Kim Tat Auto Air - Cond Accessories","4.6","25","Komp. Perniagaan Sri Cemerlang, 7205, Jalan Kampung Paya","Butterworth","Penang","MY",,"+60 12-496 2122","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kim%20Tat%20Auto%20Air%20-%20Cond%20Accessories&query_place_id=ChIJYX1HoqFt0DERQclG5P8HY_4","Air conditioning repair service"
"S&S AIRCONDITIONER SERVICE","5","7","1395, Jln Permatang Pauh","Permatang Pauh","Penang","MY",,"+60 12-400 3509","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=S%26S%20AIRCONDITIONER%20SERVICE&query_place_id=ChIJLzanJADFSjARTI4cF6dRZC8","Air conditioning repair service"
"Beng Lee Car Air-Cond Specialist","4.6","109","1g, Jalan Sultan Azlan Shah","Bayan Lepas","Penang","MY",,"+60 4-646 5002","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beng%20Lee%20Car%20Air-Cond%20Specialist&query_place_id=ChIJc8mm8vm_SjARD6h2oyeffDs","Air conditioning repair service"
"TAC Cooling Engineering Sdn. Bhd.","4.3","8","556P, Jalan Batu Uban","Gelugor","Penang","MY","https://taccooling.com/","+60 4-658 3011","Air conditioning contractor","Air compressor repair service","Air conditioning system supplier","Air duct cleaning service",,,,,,,"https://www.google.com/maps/search/?api=1&query=TAC%20Cooling%20Engineering%20Sdn.%20Bhd.&query_place_id=ChIJKzBcmKrBSjARlCLyeBVAbaY","Air conditioning contractor"
"CHUAN SENG - MIDEA PRO SHOP (AIRCOND WHOLESALER) Bayan Baru Penang","5","182","58, Jalan Mayang Pasir","Bayan Lepas","Penang","MY",,"+60 4-642 6588","Air conditioning store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CHUAN%20SENG%20-%20MIDEA%20PRO%20SHOP%20(AIRCOND%20WHOLESALER)%20Bayan%20Baru%20Penang&query_place_id=ChIJhyJN_7DBSjARTn2S38om62w","Air conditioning store"
"Kipaspro - Steam Iron & Home Appliance Repair Bukit Mertajam","4.7","51","No 19G, Lorong Seri Delima 1","Bukit Mertajam","Penang","MY",,"+60 19-417 1762","Appliance repair service","Electrical repair shop","Electronics repair shop","Electronics wholesaler","Repair service","Small appliance repair service",,,,,"https://www.google.com/maps/search/?api=1&query=Kipaspro%20-%20Steam%20Iron%20%26%20Home%20Appliance%20Repair%20Bukit%20Mertajam&query_place_id=ChIJfXk78jHHSjARfCHpM7ZmLlI","Appliance repair service"
"RETROLITE SERVICES SDN BHD",,,"2-2-3-A IVORY PLAZA, Halaman Bukit Gambir","Gelugor","Penang","MY",,"+60 13-492 4642","Air conditioning repair service","Air compressor repair service","Electrical installation service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RETROLITE%20SERVICES%20SDN%20BHD&query_place_id=ChIJQ-xSqUDBSjARhng-3F-DtZE","Air conditioning repair service"
"HK Air Conditioning & Electronic Solution Sdn Bhd","4.1","9","1051 Ground Floor, Pine Valley Business Centre, Jln Paya Terubung","George Town","Penang","MY",,"+60 11-6943 0339","Air conditioning repair service","Air conditioning contractor","Renovation contractor","Electrician",,,,,,,"https://www.google.com/maps/search/?api=1&query=HK%20Air%20Conditioning%20%26%20Electronic%20Solution%20Sdn%20Bhd&query_place_id=ChIJb4SJp7_BSjARD7rOJgf2s2M","Air conditioning repair service"
"Sheng Hua Air Condition & Electrical Service","3.6","32","160-1, Jalan Tasek Ss1","Simpang Ampat","Penang","MY",,"+60 12-514 5435","Air conditioning repair service","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sheng%20Hua%20Air%20Condition%20%26%20Electrical%20Service&query_place_id=ChIJA2O9UDW2SjARWvQXF6Im5ZI","Air conditioning repair service"
"Seang Kok Auto Service","4.6","17","106, Taman Belibis","Simpang Ampat","Penang","MY",,"+60 11-5558 8191","Air conditioning repair service","Auto restoration service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seang%20Kok%20Auto%20Service&query_place_id=ChIJJ71N8K63SjARvMiErHGlInE","Air conditioning repair service"
"Mr. Win Car Aircond & Tinted Specialist","4.5","122","35, Persiaran Mahsuri 1/3","Bayan Lepas","Penang","MY",,"+60 12-568 1153","Window tinting service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mr.%20Win%20Car%20Aircond%20%26%20Tinted%20Specialist&query_place_id=ChIJgX0ZCtvBSjAR9o7reTgXsi8","Window tinting service"
"workshop bergerak repair mesin basuh peti sejuk (Barat Daya)","4.6","22","Bukit Gedung","Bayan Lepas","Penang","MY","https://www.facebook.com/profile.php?id=100063623828103&mibextid=ZbWKwL","+60 12-410 3424","Refrigerator repair service","Washer & dryer repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=workshop%20bergerak%20repair%20mesin%20basuh%20peti%20sejuk%20(Barat%20Daya)&query_place_id=ChIJeWi7rh3BSjARaqG5LfCvMIY","Refrigerator repair service"
"BLAir | Cooling Solutions & Building Services | Penang","4.5","20","721,723,725,727, 729, Jalan Dato Keramat","George Town","Penang","MY","http://www.blaircool.com/","+60 4-227 8625","Air conditioning contractor","General contractor","HVAC contractor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BLAir%20%7C%20Cooling%20Solutions%20%26%20Building%20Services%20%7C%20Penang&query_place_id=ChIJa1aO97bDSjARVCwQQwKwxmM","Air conditioning contractor"
"CHUAN SENG - BUTTERWORTH (AIRCOND WHOLESALER)","5","420","NO. 7, JALAN PERUSAHAAN Bagan Lalang","Butterworth","Penang","MY","https://brightstorm.com.my/","+60 4-333 1148","Air conditioning store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CHUAN%20SENG%20-%20BUTTERWORTH%20(AIRCOND%20WHOLESALER)&query_place_id=ChIJT99eN47GSjARJTgZjoYfk_A","Air conditioning store"
"York M Sales & Service","4.3","13","Ground 1, & 2, 66, Jalan Perai Jaya 4","Perai","Penang","MY",,"+60 4-398 1035","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20M%20Sales%20%26%20Service&query_place_id=ChIJiSmvw2LGSjARtrA88krGZ-s","Air conditioning repair service"
"Yu Sern Car Air- Cond Auto Accessories","4.7","23","53, Jalan Gan Chai Leng","Perai","Penang","MY",,"+60 16-417 1092","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yu%20Sern%20Car%20Air-%20Cond%20Auto%20Accessories&query_place_id=ChIJfSf3N4HGSjAR18unR87DNlE","Air conditioning repair service"
"Kiong Auto Air-Con Services","4.2","26","71, Jalan P. Ramlee","George Town","Penang","MY",,"+60 4-281 3200","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kiong%20Auto%20Air-Con%20Services&query_place_id=ChIJVUeRqcnDSjARaSW_aQEugUM","Air conditioning repair service"
"SK Aircond Service & Electrical","3","2","No. 35, Tingkat Limbungan 1","Butterworth","Penang","MY",,"+60 10-945 9938","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SK%20Aircond%20Service%20%26%20Electrical&query_place_id=ChIJSy3mfjrESjARaI6JcAcx7Vo","Air conditioning repair service"
"Kedai Aircond Bertam Kepala Batas SejukAihh","4.9","202","51, Jalan Dagangan 2","Kepala Batas","Penang","MY","https://linktr.ee/kedaiaircondpenang","+60 18-400 4796","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Aircond%20Bertam%20Kepala%20Batas%20SejukAihh&query_place_id=ChIJA-DilbrRSjAR5lNC3eAtlYM","Air conditioning contractor"
"Hi Tech Skill & Engineering","5","179","Lot 1164, Jalan Pasir Gebu","Penaga","Penang","MY","https://aircondpenaga.com/","+60 4-351 1418","Air conditioning store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hi%20Tech%20Skill%20%26%20Engineering&query_place_id=ChIJ4w5B0qnbSjARjxZM4y3Zcj4","Air conditioning store"
"ORA AC",,,"15, Lorong Bertam Ria 4","Kepala Batas","Penang","MY","https://www.facebook.com/share/1Zv6yA9HJB/?mibextid=wwXIfr","+60 17-267 8374","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ORA%20AC&query_place_id=ChIJT_nKAKLbSjARNklfbASyVGk","Air conditioning contractor"
"Ams Autospec Kepala Batas, Penang","4.4","14","419 Bengkel, Jalan Butterworth","Kepala Batas","Penang","MY",,"+60 16-216 9496","Air conditioning repair service","Auto repair shop","Repair service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ams%20Autospec%20Kepala%20Batas%2C%20Penang&query_place_id=ChIJAWHI62XbSjARf77IVvMNSMs","Air conditioning repair service"
"Bertam Aircond Services","3.5","4",,"Kepala Batas","Penang","MY","http://bertamaircond.com/","+60 19-400 5013","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bertam%20Aircond%20Services&query_place_id=ChIJXRUa2JbRSjAR8B3wvWXP2cg","Air conditioning contractor"
"NAS Aircond (HQ)","5","70","Pusat Teknousahawan Elektrik, No. 17A, Persiaran Seksyen 4/16","Kepala Batas","Penang","MY","http://www.nasaircond.com/","+60 11-1970 0293","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NAS%20Aircond%20(HQ)&query_place_id=ChIJ3c7mMdDRSjARxKjNJr9C-Xw","Air conditioning contractor"
"TOK ONE SKILL","4.5","46","3, 27, Jalan Shahbandar 2","Kepala Batas","Penang","MY","https://tokoneskill.com/index.php","+60 13-477 7463","Air conditioning repair service","Property maintenance","Auto electrical service","Closed circuit television","Electrician","Locksmith","Plumber","Renovation contractor","Roofing contractor","Waterproofing service","https://www.google.com/maps/search/?api=1&query=TOK%20ONE%20SKILL&query_place_id=ChIJwVL5mdnRSjAR2lFMo_r7efY","Air conditioning repair service"
"Chin Car Air Condition","4","5","43 A-G, Jalan Kampung Gajah","Butterworth","Penang","MY",,"+60 12-472 8887","Air conditioning repair service","Chauffeur service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chin%20Car%20Air%20Condition&query_place_id=ChIJR77rIFzESjARTs7rbidV77g","Air conditioning repair service"
"JBT AUTO CENTRE - SUNGAI DUA","4.3","24","No 23, Jalan Sungai Dua Utama 1","Butterworth","Penang","MY",,"+60 11-7007 2331","Air conditioning repair service","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JBT%20AUTO%20CENTRE%20-%20SUNGAI%20DUA&query_place_id=ChIJ9QegmpLFSjARFmWZLxM1ZkQ","Air conditioning repair service"
"Al-Junaid Electrician Wireman Handyman","4.9","95","28-19-16, Jalan Sungai","George Town","Penang","MY",,"+60 12-477 6011","Electrician",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Al-Junaid%20Electrician%20Wireman%20Handyman&query_place_id=ChIJFXWjSQLDSjARQpDcuOzqaWs","Electrician"
"Northern Tech & Services","4.7","98","36, Jalan Goh Guan Ho","George Town","Penang","MY",,"+60 11-1772 1722","Appliance repair service","Electrical repair shop","Electronics store","Small appliance repair service","Television repair service",,,,,,"https://www.google.com/maps/search/?api=1&query=Northern%20Tech%20%26%20Services&query_place_id=ChIJb9UABL3DSjARrAogN9EUx-s","Appliance repair service"
